"159","6"
"158","38"
"153","16"
"154","7"
"163","30"
"167","129"
"171","166"
"217","292"
"160","32"
"213","287"
"173","127"
"163","159"
"185","254"
"216","286"
"159","156"
"162","156"
"186","233"
"170","461"
"150","12"
"159","45"
"186","229"
"211","347"
"164","47"
"218","324"
"228","322"
"156","16"
"179","120"
"151","6"
"173","457"
"145","19"
"185","233"
"186","232"
"181","228"
"213","282"
"159","18"
"208","292"
"158","20"
"191","247"
"224","314"
"218","344"
"178","120"
"170","34"
"183","233"
"171","128"
"218","351"
"214","287"
"218","280"
"151","7"
"158","9"
"225","313"
