"230","83"
"216","214"
"489","163"
"311","85"
"120","402"
"137","430"
"417","307"
"302","49"
"89","436"
"427","425"
"369","244"
"88","374"
"79","227"
"476","43"
"70","296"
"316","70"
"48","118"
"394","366"
"32","411"
"448","215"
"416","113"
"360","333"
"287","24"
"91","235"
"31","383"
"293","109"
"92","402"
"418","444"
"68","261"
"344","420"
"428","245"
"55","438"
"294","149"
"53","416"
"380","245"
"371","66"
"486","18"
"238","55"
"446","411"
"131","226"
"125","271"
"308","100"
"312","336"
"311","208"
"275","253"
"359","444"
"132","387"
"210","123"
"457","340"
"246","108"
"299","334"
"360","365"
"421","375"
"493","445"
"236","158"
"375","355"
"392","377"
"48","233"
"478","75"
"254","441"
"427","103"
"57","404"
"445","308"
"448","313"
"50","96"
"404","83"
"392","49"
"424","173"
"451","185"
"379","406"
"359","458"
"269","460"
"147","253"
"412","464"
"236","98"
"337","478"
"232","471"
"362","327"
"479","240"
"475","489"
"306","239"
"91","425"
"462","452"
"275","65"
"468","173"
"102","441"
"306","478"
"237","149"
"338","475"
"405","90"
"264","289"
"410","198"
"220","150"
"106","168"
"389","147"
"110","95"
"247","457"
"391","93"
"63","414"
"433","197"
